fullDisplayName,category,assessment,columnHeader,description
ASR DSM AD/H Problems Gender and Age Adjusted T-score (DSM_Adh_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Adh_T,ASR DSM AD/H Problems (scale 5) Gender and Age Adjusted T-score
ASR DSM Antisocial Personality Problems Gender and Age Adjusted T-score (DSM_Antis_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Antis_T,ASR DSM Antisocial Personality Problems (scale 6) Gender and Age Adjusted T-score
ASR DSM Anxiety Problems Gender and Age Adjusted T-score (DSM_Anxi_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Anxi_T,ASR DSM Anxiety Problems (scale 2) Gender and Age Adjusted T-score
ASR DSM Avoidant Personality Problems Gender and Age Adjusted T-score (DSM_Avoid_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Avoid_T,ASR DSM Avoidant Personality Problems (scale 4) Gender and Age Adjusted T-score
ASR DSM Depressive Problems Gender and Age Adjusted T-score (DSM_Depr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Depr_T,ASR DSM Depressive Problems (scale 1) Gender and Age Adjusted T-score
ASR DSM Somatic Problems Gender and Age Adjusted T-score (DSM_Somp_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Somp_T,ASR DSM Somatic Problems (scale 3) Gender and Age Adjusted T-score
OVERALL Emotion Task accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Acc,Average accuracy Percentage during EMOTION task
Emotion Task FACE accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Face_Acc,Accuracy Percentage during FACE blocks in EMOTION task
Emotion Task SHAPE accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Shape_Acc,Accuracy Percentage during SHAPE blocks in EMOTION task
Penn Emotion Recognition Test: Number of Correct Responses (ER40_CR),Emotion,Emotion Recognition (Penn Emotion Recognition Test),ER40_CR,Penn Emotion Recognition: Number of Correct Responses
NIH Toolbox Flanker Inhibitory Control and Attention Test: Age-Adjusted Scale Score,Cognition,Executive Function/Inhibition (Flanker Task),Flanker_AgeAdj,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Flanker Inhibitory Control and Attention Test: Unadjusted Scale Score,Cognition,Executive Function/Inhibition (Flanker Task),Flanker_Unadj,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
Penn Word Memory Test: Total Number of Correct Responses (IWRD_TOT),Cognition,Verbal Episodic Memory (Penn Word Memory Test),IWRD_TOT,Penn Word Memory:  Total Number of Correct Responses
Language Task OVERALL accuracy,In-Scanner Task Performance,Language,Language_Task_Acc,Average of accuracy from each condition in the LANGUAGE task
Language Task MATH accuracy,In-Scanner Task Performance,Language,Language_Task_Math_Acc,Accuracy Percentage during MATH condition in LANGUAGE task
Language Task STORY accuracy,In-Scanner Task Performance,Language,Language_Task_Story_Acc,Accuracy Percentage during STORY condition in LANGUAGE task
NIH Toolbox General Life Satisfaction Survey: Unadjusted Scale Score,Emotion,"Psychological Well-being (Positive Affect, Life Satisfaction, Meaning and Purpose)",LifeSatisf_Unadj,"This self-report measure assesses global feelings and attitudes about one's life using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more general life satisfaction. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of general life satisfaction and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of general life satisfaction."
NIH Toolbox List Sorting Working Memory Test: Age-Adjusted Scale Score,Cognition,Working Memory (List Sorting),ListSort_AgeAdj,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a “fluid ability” measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
Mini Mental Status Exam Total Score,Alertness,Cognitive Status (Mini Mental Status Exam),MMSE_Score,"Mini Mental Status Exam (MMSE) Total Score. This is a broad measure of cognitive status (Folstein et al., 1975)."
NEO-FFI Agreeableness (NEOFAC_A),Personality,Five Factor Model (NEO-FFI) Factor Summary Scores,NEOFAC_A,"Agreeableness Scale Score NEO-FFI (McCrae and Costa 2004). Note: NEOFAC_A scores in ConnectomeDB before April 3, 2018, were incorrect due to a bug in scoring NEO Item #59. The maximum effect of the bug was +/- 4pts, depending on participant's answer on NEO Item #59."
NEO-FFI Conscientiousness (NEOFAC_C),Personality,Five Factor Model (NEO-FFI) Factor Summary Scores,NEOFAC_C,Conscientiousness Scale Score NEO-FFI (McCrae and Costa 2004)
NEO-FFI Extraversion (NEOFAC_E),Personality,Five Factor Model (NEO-FFI) Factor Summary Scores,NEOFAC_E,Extraversion Scale Score NEO-FFI (McCrae and Costa 2004)
NEO-FFI Neuroticism (NEOFAC_N),Personality,Five Factor Model (NEO-FFI) Factor Summary Scores,NEOFAC_N,Neuroticism Scale Score NEO-FFI (McCrae and Costa 2004)
NEO-FFI Openness to Experience (NEOFAC_O),Personality,Five Factor Model (NEO-FFI) Factor Summary Scores,NEOFAC_O,Openness Scale Score NEO-FFI (McCrae and Costa 2004)
NIH Toolbox Picture Sequence Memory Test: Age-Adjusted Scale Score,Cognition,Episodic Memory (Picture Sequence Memory),PicSeq_AgeAdj,"The Picture Sequence Memory Test is an assessment of episodic memory for ages 3-85 years which involves the acquisition, storage and effortful recall of new information. It is considered a strong 'fluid ability' measure, with performance reaching a peak in early adulthood and declining across the life span. It involves recalling increasingly lengthy series of illustrated objects and activities that are presented in a particular order on the computer screen. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Picture Vocabulary Test: Age-Adjusted Scale Score,Cognition,Language/Vocabulary Comprehension (Picture Vocabulary),PicVocab_AgeAdj,"The Picture Vocabulary Test is a CAT format measure of general vocabulary knowledge for ages 3-85 and is considered to be a strong measure of crystallized abilities (those abilities that are more dependent upon past learning experiences and are consistent across the lifespan). The participant is presented with an audio recording of a word and four photographic images on the computer screen and is asked to select the picture that most closely matches the meaning of the word. Higher scores indicate higher vocabulary ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
Penn Progressive Matrices: Number of Correct Responses (PMAT24_A_CR),Cognition,Fluid Intelligence (Penn Progressive Matrices),PMAT24_A_CR,"Penn Matrix Test (PMAT): Number of Correct Responses. The PMAT measures fluid intelligence via non-verbal reasoning using an abbreviated version of the Raven's Progressive Matrices Form A developed by Gur and colleagues (Bilker et al. 2012).  Participants are presented with patterns made up of 2x2, 3x3 or 1x5 arrangements of squares, with one of the squares missing.  The participant must pick one of five response choices that best fits the missing square on the pattern.  The task has 24 items and 3 bonus items, arranged in order of increasing difficulty.  However, the task discontinues if the participant makes 5 incorrect responses in a row."
Penn Progressive Matrices: Total Skipped Items (PMAT24_A_SI),Cognition,Fluid Intelligence (Penn Progressive Matrices),PMAT24_A_SI,"Penn Matrix Test (PMAT): Total Skipped Items (items not presented because maximum errors allowed reached [5 in a row]). The PMAT measures fluid intelligence via non-verbal reasoning using an abbreviated version of the Raven's Progressive Matrices Form A developed by Gur and colleagues (Bilker et al. 2012).  Participants are presented with patterns made up of 2x2, 3x3 or 1x5 arrangements of squares, with one of the squares missing.  The participant must pick one of five response choices that best fits the missing square on the pattern.  The task has 24 items and 3 bonus items, arranged in order of increasing difficulty.  However, the task discontinues if the participant makes 5 incorrect responses in a row."
NIH Toolbox Pattern Comparison Processing Speed Test: Age-Adjusted Scale Score,Cognition,Processing Speed (Pattern Completion Processing Speed),ProcSpeed_AgeAdj,"The Pattern Comparison Processing Test is a measure of speed of processing, which is considered a 'fluid ability' because it steadily improves (time to complete task decreases) throughout childhood and adolescence, then begins to decline in adulthood. This test for ages 7-85 asks participants to discern whether two side-by-side pictures are the same or not. The items are designed to be simple to most purely measure processing speed. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Oral Reading Recognition Test: Age-Adjusted Scale Score,Cognition,Language/Reading Decoding (Oral Reading Recognition),ReadEng_AgeAdj,"The Reading Test is a CAT format measure of reading decoding skill and of crystallized abilities, those abilities that are generally more dependent upon past learning experiences and consistent across the life span for ages 7-85. The participant is asked to read and pronounce letters and words as accurately as possible. Higher scores indicate better reading ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
Relational Task OVERALL accuracy,In-Scanner Task Performance,Relational,Relational_Task_Acc,Average accuracy Percentage during RELATIONAL task
Relational Task MATCH accuracy,In-Scanner Task Performance,Relational,Relational_Task_Match_Acc,Accuracy Percentage during MATCH blocks in RELATIONAL task
Relational Task RELATIONAL block (REL) accuracy,In-Scanner Task Performance,Relational,Relational_Task_Rel_Acc,Accuracy Percentage during RELATIONAL blocks in RELATIONAL task
Short Penn Continuous Performance Test: Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN) (SCPT_SEN),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_SEN,Short Penn CPT Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN)
Short Penn Continuous Performance Test: Specificity = SCPT_TN/(SCPT_TN + SCPT_FP) (SCPT_SPEC),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_SPEC,Short Penn CPT Specificity = SCPT_TN/(SCPT_TN + SCPT_FP)
Short Penn Continuous Performance Test: True Positives = Sum of CPN_TP and CPL_TP (SCPT_TP),Cognition,Sustained Attention (Short Penn Continuous Performance Test),SCPT_TP,Short Penn CPT True Positives = Sum of CPN_TP and CPL_TP
Social Task Overall Percentage 'TOM',In-Scanner Task Performance,Social,Social_Task_Perc_TOM,Overall Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Overall Percentage 'Unsure',In-Scanner Task Performance,Social,Social_Task_Perc_Unsure,Overall Percentage of stimuli that received a 'unsure' rating in SOCIAL task
Social Task Percentage 'TOM' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Perc_TOM,Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Percentage 'Random' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_Random,Percentage of Social (TOM) stimuli that the subject rated as 'random' in SOCIAL task
Social Task Percentage 'TOM' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_TOM,Percentage of Social (TOM) stimuli that received a 'social' rating in SOCIAL task
Social Task Percentage 'Unsure' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_Unsure,Percentage of Social (TOM) stimuli that received a 'unsure' rating in SOCIAL task
Major Depressive Episode,Psychiatric and Life Function,Psychiatric History,SSAGA_Depressive_Ep,"Has the participant experienced a diagnosed DSMIV Major Depressive Episode over his/her lifetime? 1=No, 5=Yes"
Number Depressive Symptoms,Psychiatric and Life Function,Psychiatric History,SSAGA_Depressive_Sx,Number of depressive symptoms endorsed that meet DSMIV criterion for major depression over his/her lifetime
Panic Disorder,Psychiatric and Life Function,Psychiatric History,SSAGA_PanicDisorder,"Non-diagnostic screen available to exclude possible cases of panic disorder. 0=No, 1=Yes, positive for panic disorder screen sometime over lifetime"
Working Memory Task Accuracy for 0-back,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Acc,Accuracy across all conditions in 0-back
Working Memory Task Accuracy for 2-back,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Acc,Accuracy across all conditions in 2-back
Working Memory Task Overall Accuracy,In-Scanner Task Performance,Working Memory,WM_Task_Acc,Accuracy across all conditions in WM task
