feature,kind,cardinality,description,fulldisplayname
7t_tmri_pctcompl,book_keeping,reg,Percentage of 7T Task fMRI Protocol Complete (Over all tasks),7T Task fMRI Percent Complete (Over all tasks)
acquisition,book_keeping,ord,"Quarter in which this subject's 3T and behavioral data (and MEG, if applicable) was initially acquired. Quarter is defined as relative to the start of HCP Phase II data collection. Q1 = 8/2012 - 10/2012 (Aug-Oct), Q2 = 11/2012 - 1/2013, Q3 = 2/2013 - 4/2013, Q4 = 5/2013 - 7/2013, Q5 = 8/2013 - 10/2013, etc.",Acquisition Quarter
alert_compl,book_keeping,bin,Full alertness battery was completed (True or False),Full Alertness Battery Completed
alpha_peak,physio,reg,Median value for the estimated peak alpha frequency for the subject across all tMEG and rMEG sensor groups and conditions  ,MEG Alpha Peak
angaffect_unadj,emotion,reg,"This self-report measure assesses anger as an emotion for ages 18-85, using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more feelings of anger (irritability, frustration). Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of angry feelings and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of angry feelings.  ",NIH Toolbox Anger-Affect Survey: Unadjusted Scale Score
angaggr_unadj,emotion,reg,"This self-report measure assesses aggression as a behavioral component. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more reported physical aggression. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of physical aggression and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of physical aggression.",NIH Toolbox Anger-Physical Aggression Survey: Unadjusted Scale Score
anghostil_unadj,emotion,reg,"This self-report measure assesses attitudes of hostility and cynicism. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more hostility. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of hostility and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of hostility.",NIH Toolbox Anger-Hostility Survey: Unadjusted Scale Score
asq_compl,book_keeping,bin,Alcohol and Smoking Questionnaire (ASQ) was completed (True or False),Alcohol and Smoking Questionnaire (ASQ) Completed
asr-dsm_compl,book_keeping,bin,Achenbach Adult Self Report (ASR) - DSM-Oriented Scale was completed (True or False),Achenbach Adult Self Report (ASR) - DSM-Oriented Scale Completed
asr-syn_compl,book_keeping,bin,Achenbach Adult Self Report (ASR) - Syndrome Scale was completed (True or False),Achenbach Adult Self Report (ASR) - Syndrome Scale Completed
beta_peak,physio,reg,Median value for the estimated peak beta frequency for the subject across all tMEG and rMEG sensor groups and conditions  ,MEG Beta Peak
cardsort_ageadj,cognition,reg,"The Dimensional Change Card Sort Test is a measure of executive function, specifically tapping cognitive flexibility for ages 3-85. DCCS is considered a 'fluid ability' measure, with performance generally increasing through childhood and then declining across the adult age span. Target pictures are presented that vary along two dimensions (e.g., shape and color). Participants are asked to match a series of bivalent test pictures (e.g., yellow balls and blue trucks) to the target pictures, first according to one dimension (e.g., color) and then, after a number of trials, according to the other dimension (e.g., shape). Switch trials are also employed, in which the participant must change the dimension being matched, thus requiring the cognitive flexibility to quickly choose the correct stimulus. Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. ",NIH Toolbox Dimensional Change Card Sort Test: Age-Adjusted Scale Score
cardsort_unadj,cognition,reg,"The Dimensional Change Card Sort Test is a measure of executive function, specifically tapping cognitive flexibility for ages 3-85. It is considered a 'fluid ability' measure, with performance generally increasing through childhood and then declining across the adult age span. Target pictures are presented that vary along two dimensions (e.g., shape and color). Participants are asked to match a series of bivalent test pictures (e.g., yellow balls and blue trucks) to the target pictures, first according to one dimension (e.g., color) and then, after a number of trials, according to the other dimension (e.g., shape). Switch trials are also employed, in which the participant must change the dimension being matched, thus requiring the cognitive flexibility to quickly choose the correct stimulus. Scoring is based on a combination of accuracy and reaction time. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Dimensional Change Card Sort Test: Unadjusted Scale Score
cogcrystalcomp_ageadj,cognition,reg,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Cognition Crystallized Composite: Age Adjusted Scale Score
cogcrystalcomp_unadj,cognition,reg,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox Cognition Crystallized Composite: Unadjusted Scale Score
cogearlycomp_ageadj,cognition,reg,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Cognition Early Childhood Composite: Age Adjusted Scale Score
cogearlycomp_unadj,cognition,reg,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average",NIH Toolbox Cognition Early Childhood Composite: Unadjusted Scale Score
cogfluidcomp_ageadj,cognition,reg,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Cognition Fluid Composite: Age Adjusted Scale Score
cogfluidcomp_unadj,cognition,reg,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox Cognition Fluid Composite: Unadjusted Scale Score
cogtotalcomp_ageadj,cognition,reg,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Cognition Total Composite Score: Age Adjusted Scale Score
cogtotalcomp_unadj,cognition,reg,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox Cognition Total Composite Score: Unadjusted Scale Score
ddisc_auc_200,psych,reg,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $200. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $200 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Area Under the Curve for Discounting of $200 (DDisc_AUC_200)
ddisc_auc_40k,psych,reg,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $40,000. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $40,000 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward.","Delay Discounting: Area Under the Curve for Discounting of $40,000 (DDisc_AUC_40K)"
ddisc_sv_10yr_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 10 years. Participants choice of an immediate amount that is equivalent to receiving $200 in 10 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 in 10 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 10 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 10 years (DDisc_SV_10yr_200)
ddisc_sv_10yr_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 10 years. Participants choice of an immediate amount that is equivalent to receiving $40000 in 10 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 10 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in 10 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward.",Delay Discounting: Subjective Value for $40K at 10 years (DDisc_SV_10yr_40K)
ddisc_sv_1mo_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 1 month. Participants choice of an immediate amount that is equivalent to receiving $200 at 1 month. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 at 1 month. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 1 month. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 1 month (DDisc_SV_1mo_200)
ddisc_sv_1mo_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 1 month. Participants choice of an immediate amount that is equivalent to receiving $40000 in 1 month. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 1 month. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in in 1 month. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $40K at 1 month (DDisc_SV_1mo_40K)
ddisc_sv_1yr_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 1 year. Participants choice of an immediate amount that is equivalent to receiving $200 in 1 year. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 in 1 year. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 1 year. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 1 year (DDisc_SV_1yr_200)
ddisc_sv_1yr_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 1 year. Participants choice of an immediate amount that is equivalent to receiving $40000 in 1 year. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 1 year. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in 1 year. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward.",Delay Discounting: Subjective Value for $40K at 1 year (DDisc_SV_1yr_40K)
ddisc_sv_3yr_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 3 years. Participants choice of an immediate amount that is equivalent to receiving $200 in 3 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 in 3 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 3 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 3 years (DDisc_SV_3yr_200)
ddisc_sv_3yr_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 3 years. Participants choice of an immediate amount that is equivalent to receiving $40000 in 3 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 3 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in 3 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward.",Delay Discounting: Subjective Value for $40K at 3 years (DDisc_SV_3yr_40K)
ddisc_sv_5yr_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 5 years. Participants choice of an immediate amount that is equivalent to receiving $200 in 5 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 in 5 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 5 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 5 years (DDisc_SV_5yr_200)
ddisc_sv_5yr_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 5 years. Participants choice of an immediate amount that is equivalent to receiving $40000 in 5 years. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 5 years. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in 5 years. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward.",Delay Discounting: Subjective Value for $40K at 5 years (DDisc_SV_5yr_40K)
ddisc_sv_6mo_200,sub_scale,reg,"Delay Discounting: Subjective Value for $200 at 6 months. Participants choice of an immediate amount that is equivalent to receiving $200 in 6 months. In this task, participants are presented with two choices on each trial - a smaller amount today or $200 in 6 months. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $200 in 6 months. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $200 at 6 months (DDisc_SV_6mo_200)
ddisc_sv_6mo_40k,sub_scale,reg,"Delay Discounting: Subjective Value for $40K at 6 months. Participants choice of an immediate amount that is equivalent to receiving $40000 in 6 months. In this task, participants are presented with two choices on each trial - a smaller amount today or $40K in 6 months. Using an adjusting-amount approach, delays are fixed and reward amounts are adjusted on a trial-by-trial basis based on participants choices, to rapidly hone in on an indifference point that indicates the Subjective immediate Value of $40K in 6 months. Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. ",Delay Discounting: Subjective Value for $40K at 6 months (DDisc_SV_6mo_40K)
deldisc_compl,book_keeping,bin,Self-regulation/Impulsivity (Delay Discounting) assessment was completed (True or False),Delay Discounting Completed
dexterity_ageadj,physio,reg,"This test of manual dexterity records the time required for the participant to accurately place and remove 9 plastic pegs into a plastic pegboard. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. Higher scoring is indicative of better dexterity in the dominant hand. For the 9-Hole Pegboard Dexterity Test, the raw score, recorded as time in seconds that it takes the participant to complete the task, is commonly used for interpretation, with faster completion times (less time to complete) representing better manual dexterity. This also allows for raw comparisons between dominant and non-dominant hand performance. Raw scores are available on request to info@humanconnectome.org. However, one can also evaluate performance with the dominant hand by looking at the normative scale scores provided here.",NIH Toolbox 9-hole Pegboard Dexterity Test : Age-Adjusted Scale Score
dexterity_unadj,physio,reg,"This test of manual dexterity records the time required for the participant to accurately place and remove 9 plastic pegs into a plastic pegboard. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. Higher scoring is indicative of better dexterity in the dominant hand. For the 9-Hole Pegboard Dexterity Test, the raw score, recorded as time in seconds that it takes the participant to complete the task, is commonly used for interpretation, with faster completion times (less time to complete) representing better manual dexterity. This also allows for raw comparisons between dominant and non-dominant hand performance. Raw scores are available on request to info@humanconnectome.org. However, one can also evaluate performance with the dominant hand by looking at the normative scale scores provided here.",NIH Toolbox 9-hole Pegboard Dexterity Test : Unadjusted Scale Score
dmri_3t_reconvrs,book_keeping,id,"Version of image reconstruction algorithm used to reconstruct data. r177 is earlier version, r227 is improved version implemented in mid-Quarter 3.",3T MR dMRI Recon Version
emorecog_compl,book_keeping,bin,Emotion Recognition (Penn Emotion Recognition Test) was completed (True or False),Emotion Recognition (Penn Emotion Recognition Test) Completed
emotion_task_acc,emotion,reg,Average accuracy Percentage during EMOTION task,OVERALL Emotion Task accuracy
emotion_task_face_acc,emotion,reg,Accuracy Percentage during FACE blocks in EMOTION task,Emotion Task FACE accuracy
emotion_task_face_median_rt,timing,reg,Median Reaction Time for correct trials during FACE blocks in EMOTION task,Emotion Task FACE median Reaction Time
emotion_task_median_rt,timing,reg,Average of median Reaction Times from each condition in EMOTION task,OVERALL Emotion Task Reaction Time
emotion_task_shape_acc,emotion,reg,Accuracy Percentage during SHAPE blocks in EMOTION task,Emotion Task SHAPE accuracy
emotion_task_shape_median_rt,timing,reg,Median Reaction Time for correct trials during SHAPE blocks in EMOTION task,Emotion Task SHAPE median Reaction Time
emotsupp_unadj,emotion,reg,"This self-report measure assesses emotional support (refers to the perception that people in one’s social network are available to listen to one’s problems with empathy, caring and understanding) through an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more emotional support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of support,and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of support.",NIH Toolbox Emotional Support Survey: Unadjusted Scale Score
endurance_ageadj,physio,reg,"This test measures sub-maximal cardiovascular endurance by recording the distance that the participant is able to walk on a 50-foot (out and back) course in 2 minutes.  The participant's raw score is the distance in feet and inches walked in 2 minutes. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox 2-minute Walk Endurance Test : Age-Adjusted Scale Score
endurance_unadj,physio,reg,"This test measures sub-maximal cardiovascular endurance by recording the distance that the participant is able to walk on a 50-foot (out and back) course in 2 minutes.  The participant's raw score is the distance in feet and inches walked in 2 minutes. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox 2-minute Walk Endurance Test : Unadjusted Scale Score
er40_cr,emotion,reg,Penn Emotion Recognition: Number of Correct Responses,Penn Emotion Recognition Test: Number of Correct Responses (ER40_CR)
er40_crt,timing,reg,Penn Emotion Recognition: Correct Responses Median Response Time (ms),Penn Emotion Recognition Test: Correct Responses Median Response Time (ms) (ER40_CRT)
er40ang,emotion,reg,Penn Emotion Recognition: Number of Correct Anger Identifications,Penn Emotion Recognition Test: Number of Correct Anger Identifications (ER40ANG)
er40fear,emotion,reg,Penn Emotion Recognition: Number of Correct Fear Identifications,Penn Emotion Recognition Test: Number of Correct Fear Identifications (ER40FEAR)
er40hap,emotion,reg,Penn Emotion Recognition: Number of Correct Happy Identifications,Penn Emotion Recognition Test: Number of Correct Happy Identifications (ER40HAP)
er40noe,emotion,reg,Penn Emotion Recognition: Number of Correct Neutral Identifications,Penn Emotion Recognition Test: Number of Correct Neutral Identifications (ER40NOE)
er40sad,emotion,reg,Penn Emotion Recognition: Number of Correct Sad Identifications,Penn Emotion Recognition Test: Number of Correct Sad Identifications (ER40SAD)
fampsychneuro_compl,book_keeping,bin,Family Psychiatric and Neurological History Data (FAMHIST) was completed (True or False),Family Psychiatric and Neuro.
fearaffect_unadj,emotion,reg,"This self-report measure assesses fear and anxious misery for ages 18-85, using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more feelings of fear (fearfulness, panic). Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of fearful feelings and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of fearful feelings.  ",NIH Toolbox Fear-Affect Survey: Unadjusted Scale Score
fearsomat_unadj,emotion,reg,"This self-report measure assesses somatic symptoms of anxiety that reflect autonomic arousal for ages 18-85, using a 6-item fixed-length form. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more somatic arousal. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of somatic arousal and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of somatic arousal.",NIH Toolbox Fear-Somatic Arousal Survey: Unadjusted Scale Score
flanker_ageadj,cognition,reg,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Flanker Inhibitory Control and Attention Test: Age-Adjusted Scale Score
flanker_unadj,cognition,reg,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Flanker Inhibitory Control and Attention Test: Unadjusted Scale Score
fmri_3t_reconvrs,book_keeping,cat,"Version of image reconstruction algorithm used to reconstruct data. r177 is earlier version, r227 is improved version implemented in mid-Quarter 3.",3T MR fMRI Recon Version
fmri_emo_pctcompl,book_keeping,reg,Percentage of Emotion processing task fMRI complete,3T Task fMRI - Emotion Processing Percent Complete
fmri_gamb_pctcompl,book_keeping,reg,Percentage of Gambling task fMRI complete,3T Task fMRI - Gambling Percent Complete
fmri_lang_pctcompl,book_keeping,reg,Percentage of Language task fMRI complete,3T Task fMRI - Language Percent Complete
